"record_id","month","day","year","plot","species","sex","wgt"
21993,1,11,1995,18,"PF","F",7
21994,1,11,1995,12,"DO","M",47
21995,1,11,1995,2,"DO","M",51
21996,1,11,1995,21,"PF","F",7
21997,1,11,1995,24,"RM","M",10
21998,1,11,1995,1,"DM","M",46
21999,1,11,1995,19,"PF","F",8
22000,1,11,1995,1,"DM","F",45
22001,1,11,1995,2,"DO","M",41
22002,1,11,1995,18,"PF","F",8
22003,1,11,1995,2,"DM","M",41
22004,1,11,1995,12,"DM","F",37
22005,1,11,1995,1,"DM","M",49
22006,1,11,1995,22,"DM","F",39
22007,1,11,1995,22,"DM","F",33
22008,1,11,1995,2,"DO","M",52
22009,1,11,1995,1,"DM","M",44
22010,1,11,1995,19,"PF","M",9
22011,1,11,1995,12,"DM","F",41
22012,1,11,1995,20,,,
22013,1,11,1995,23,,,
22014,1,11,1995,7,,,
22015,1,12,1995,14,"DM","M",47
22016,1,12,1995,11,"DM","M",47
22017,1,12,1995,15,"RM","F",9
22018,1,12,1995,4,"DM","F",39
22019,1,12,1995,13,"OL","M",24
22020,1,12,1995,17,"DM","M",44
22021,1,12,1995,4,"DM","M",43
22022,1,12,1995,17,"DM","M",54
22023,1,12,1995,13,"DM","F",34
22024,1,12,1995,15,"PC",,
22025,1,12,1995,5,"OL","F",19
22026,1,12,1995,14,"DM","M",51
22027,1,12,1995,13,"DM","M",47
22028,1,12,1995,11,"DM","M",48
22029,1,12,1995,11,"DM","F",41
22030,1,12,1995,3,,,
22031,1,12,1995,6,,,
22032,1,12,1995,16,,,
22033,1,13,1995,8,"DO","M",51
22034,1,13,1995,8,"DO","F",48
22035,1,13,1995,9,"DM","M",44
22036,1,13,1995,9,"DM","F",37
22037,1,13,1995,8,"DM","F",42
22038,1,13,1995,8,"DM","M",47
22039,1,13,1995,9,"DM","M",43
22040,1,13,1995,10,,,
22041,2,4,1995,20,"AB",,
22042,2,4,1995,2,"DM","F",45
22043,2,4,1995,17,"DM","M",48
22044,2,4,1995,2,"DM","M",46
22045,2,4,1995,23,"AB",,
