"record_id","month","day","year","plot","species","sex","wgt"
504,1,8,1978,3,"OL",,
505,1,8,1978,13,"DM","M",43
506,1,8,1978,2,"NL",,
507,1,8,1978,2,"DM","M",44
508,1,8,1978,20,"DM","F",36
509,1,8,1978,3,"NL",,
510,1,8,1978,13,"PF","F",8
511,1,8,1978,2,"DM","M",38
512,1,8,1978,9,"DS","F",122
513,1,8,1978,2,"OL",,
514,1,8,1978,9,"PF","M",7
515,1,8,1978,9,"DO","F",42
516,1,8,1978,9,"DM","M",46
517,1,8,1978,2,"PE","M",22
518,1,8,1978,2,"DM","M",38
519,1,8,1978,2,"DM","M",48
520,1,8,1978,3,"PF","M",7
521,1,8,1978,2,"DM","M",43
522,1,8,1978,2,"DM","F",35
523,1,8,1978,2,"DM","M",43
524,1,8,1978,20,"DM",,
525,1,8,1978,6,"DM","M",36
526,1,8,1978,9,"DS","F",117
527,1,8,1978,2,"DM","F",37
528,1,8,1978,20,"DS","M",122
529,1,8,1978,9,"DM","M",43
530,1,8,1978,13,"DM","M",42
531,1,8,1978,20,"NL",,
532,1,8,1978,2,"PF","F",7
533,1,8,1978,2,"DM","M",45
534,1,8,1978,2,"OT",,
535,1,8,1978,7,,,
536,1,8,1978,22,,,
537,1,9,1978,14,"OT",,
538,1,9,1978,17,"DM","M",40
539,1,9,1978,17,"DM","F",37
540,1,9,1978,17,"DS","F",117
541,1,9,1978,11,"DM","M",40
542,1,9,1978,1,"DM","M",40
543,1,9,1978,4,"DS","M",132
544,1,9,1978,14,"OL",,
545,1,9,1978,1,"DM","F",36
546,1,9,1978,11,"NL",,
547,1,9,1978,8,"OT",,
548,1,9,1978,8,"DS","M",150
549,1,9,1978,11,"DM","M",44
550,1,9,1978,14,"DM","F",40
551,1,9,1978,4,"DS","F",126
552,1,9,1978,11,"DS","F",122
553,1,9,1978,8,"DS","F",136
554,1,9,1978,14,"NL",,
555,1,9,1978,14,"DS","F",116
556,1,9,1978,17,"DM","F",38
557,1,9,1978,11,"DM","F",39
558,1,9,1978,1,"DS","F",135
559,1,9,1978,14,"DM","M",46
560,1,9,1978,17,"DS","M",133
561,1,9,1978,11,"DS","M",136
562,1,9,1978,19,,,
563,1,9,1978,23,,,
564,1,10,1978,18,"DS","F",141
565,1,10,1978,12,"NL",,
566,1,10,1978,18,"DM","F",38
567,1,10,1978,12,"DM","F",35
568,1,10,1978,21,"OT",,
569,1,10,1978,5,"DS","M",135
570,1,10,1978,5,"OT",,
571,1,10,1978,18,"DM","F",33
572,1,10,1978,18,"DM","M",51
573,1,10,1978,5,"DS","F",122
574,1,10,1978,18,"DM","F",33
575,1,10,1978,18,"DM","M",47
576,1,10,1978,18,"DM","M",49
577,1,10,1978,21,"OT",,
578,1,10,1978,18,"DM","M",46
579,1,10,1978,5,"DM","F",45
580,1,10,1978,12,"DM","M",41
581,1,10,1978,10,,,
582,1,10,1978,15,,,
583,1,10,1978,16,,,
584,2,18,1978,3,"OT","M",24
585,2,18,1978,2,"DS","M",157
586,2,18,1978,13,"DM","M",51
587,2,18,1978,2,"OX",,
588,2,18,1978,2,"NL","M",218
589,2,18,1978,20,"DM","F",38
590,2,18,1978,2,"PF","F",7
591,2,18,1978,6,"DM","F",
592,2,18,1978,22,"DM","M",45
593,2,18,1978,2,"DM","M",52
594,2,18,1978,9,"DM","M",50
595,2,18,1978,2,"DM","M",51
